,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
0,School of Engineering,EED,Monsoon 2012,Monsoon,2012,2012,CCC303,1.5,B
1,School of Engineering,EED,Monsoon 2012,Monsoon,2012,2012,CCC302,1.5,B-
2,School of Engineering,EED,Spring 2013,Spring,2013,2012,CCC703,1.5,B-
3,School of Engineering,EED,Spring 2013,Spring,2013,2012,CCC601,1.5,D
4,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2012,CCC101,1.5,C
5,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2012,CCC603,1.5,D
6,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2012,CCC801,1.5,B-
7,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2012,CCC705,1.5,D
8,School of Engineering,EED,Spring 2014,Spring,2014,2012,CCC402,1.5,B-
9,School of Engineering,EED,Spring 2014,Spring,2014,2012,CCC506,1.5,B
10,School of Engineering,EED,Monsoon 2014,Monsoon,2014,2012,CCC501,1.5,D
11,School of Engineering,EED,Monsoon 2014,Monsoon,2014,2012,ENG110,3.0,C
12,School of Engineering,EED,Monsoon 2014,Monsoon,2014,2012,CCC807,1.5,C-
13,School of Engineering,EED,Spring 2015,Spring,2015,2012,HIS310,3.0,B
14,School of Engineering,EED,Spring 2015,Spring,2015,2012,CCC214,1.5,C-
15,School of Engineering,EED,Spring 2015,Spring,2015,2012,HIS103,3.0,C
16,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,MED309,3.0,C-
17,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CED206,4.0,D
18,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CCC411,1.5,B-
19,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CCC217,1.5,B
20,School of Engineering,EED,Spring 2016,Spring,2016,2012,FAC101,2.0,C-
21,School of Engineering,EED,Monsoon 2012,Monsoon,2012,2012,CCC303,1.5,B
22,School of Engineering,EED,Monsoon 2012,Monsoon,2012,2012,CCC302,1.5,B-
23,School of Engineering,EED,Spring 2013,Spring,2013,2012,CCC601,1.5,F
24,School of Engineering,EED,Spring 2013,Spring,2013,2012,CCC703,1.5,B
25,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2012,CCC705,1.5,D
26,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2012,CCC603,1.5,D
27,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2012,CCC401,1.5,D
28,School of Engineering,EED,Spring 2014,Spring,2014,2012,CCC506,1.5,B-
29,School of Engineering,EED,Spring 2014,Spring,2014,2012,CCC602,1.5,C
30,School of Engineering,EED,Spring 2014,Spring,2014,2012,CCC408,1.5,F
31,School of Engineering,EED,Monsoon 2014,Monsoon,2014,2012,ENG110,3.0,C-
32,School of Engineering,EED,Monsoon 2014,Monsoon,2014,2012,CCC408,1.5,F
33,School of Engineering,EED,Spring 2015,Spring,2015,2012,CCC402,1.5,B-
34,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CCC101,1.5,B
35,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CCC503,1.5,B-
36,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CCC216,1.5,D
37,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,MED309,3.0,D
38,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CED206,4.0,D
39,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,ENG213,3.0,D
40,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CCC103,1.5,C
41,School of Engineering,EED,Spring 2016,Spring,2016,2012,CCC220,1.5,C-
42,School of Engineering,EED,Spring 2016,Spring,2016,2012,CCC813,1.5,A-
43,School of Engineering,EED,Spring 2016,Spring,2016,2012,FAC101,2.0,C-
44,School of Engineering,EED,Spring 2016,Spring,2016,2012,CCC816,1.5,C-
45,School of Engineering,ECE,Monsoon 2012,Monsoon,2012,2012,CCC303,1.5,B
46,School of Engineering,ECE,Monsoon 2012,Monsoon,2012,2012,CCC302,1.5,B-
47,School of Engineering,ECE,Spring 2013,Spring,2013,2012,CCC703,1.5,C
48,School of Engineering,ECE,Spring 2013,Spring,2013,2012,CCC601,1.5,D
49,School of Engineering,ECE,Monsoon 2013,Monsoon,2013,2012,CCC705,1.5,D
50,School of Engineering,ECE,Monsoon 2013,Monsoon,2013,2012,CCC801,1.5,D
51,School of Engineering,ECE,Monsoon 2013,Monsoon,2013,2012,CCC402,1.5,C
52,School of Engineering,ECE,Spring 2014,Spring,2014,2012,CCC502,1.5,A-
53,School of Engineering,ECE,Spring 2014,Spring,2014,2012,CCC206,1.5,A-
54,School of Engineering,ECE,Summer 2014,Summer,2014,2012,BIO201,3.0,A-
55,School of Engineering,ECE,Monsoon 2014,Monsoon,2014,2012,CCC606,1.5,C-
56,School of Engineering,ECE,Monsoon 2014,Monsoon,2014,2012,CCC805,1.5,B-
57,School of Engineering,ECE,Spring 2015,Spring,2015,2012,ADP212,5.0,A-
58,School of Engineering,ECE,Spring 2015,Spring,2015,2012,CCC503,1.5,B-
59,School of Engineering,ECE,Monsoon 2015,Monsoon,2015,2012,CCC104,1.5,C-
60,School of Engineering,ECE,Monsoon 2015,Monsoon,2015,2012,ECO108,4.0,B-
