,School,Major,Sem_year,Semester,Year,Batch,Course,Credits,Grade
0,School of Engineering,EED,Monsoon 2014,Monsoon,2014,2012,ENG110,3.0,C
1,School of Engineering,EED,Spring 2015,Spring,2015,2012,HIS310,3.0,B
2,School of Engineering,EED,Spring 2015,Spring,2015,2012,HIS103,3.0,C
3,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,MED309,3.0,C-
4,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CED206,4.0,D
5,School of Engineering,EED,Spring 2016,Spring,2016,2012,FAC101,2.0,C-
6,School of Engineering,EED,Monsoon 2014,Monsoon,2014,2012,ENG110,3.0,C-
7,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,MED309,3.0,D
8,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,CED206,4.0,D
9,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2012,ENG213,3.0,D
10,School of Engineering,EED,Spring 2016,Spring,2016,2012,FAC101,2.0,C-
11,School of Engineering,ECE,Summer 2014,Summer,2014,2012,BIO201,3.0,A-
12,School of Engineering,ECE,Spring 2015,Spring,2015,2012,ADP212,5.0,A-
13,School of Engineering,ECE,Monsoon 2015,Monsoon,2015,2012,ECO108,4.0,B-
14,School of Engineering,ECE,Monsoon 2015,Monsoon,2015,2012,ECO314,3.0,B-
15,School of Engineering,CED,Monsoon 2014,Monsoon,2014,2012,HIS210,3.0,F
16,School of Engineering,CED,Spring 2015,Spring,2015,2012,HIS102,3.0,D
17,School of Humanities & Soc Sci,ENG,Spring 2015,Spring,2015,2013,SOC103,3.0,F
18,School of Humanities & Soc Sci,ENG,Monsoon 2015,Monsoon,2015,2013,SOC201,3.0,F
19,School of Humanities & Soc Sci,ENG,Monsoon 2015,Monsoon,2015,2013,HIS107,3.0,F
20,School of Humanities & Soc Sci,ENG,Monsoon 2017,Monsoon,2017,2013,HIS203,3.0,F
21,School of Engineering,CSD,Spring 2014,Spring,2014,2013,MED101,2.0,B
22,School of Engineering,CSD,Monsoon 2014,Monsoon,2014,2013,MGT101,2.0,C
23,School of Engineering,CSD,Spring 2015,Spring,2015,2013,MAT140,4.0,D
24,School of Engineering,CSD,Spring 2015,Spring,2015,2013,MAT440,4.0,C
25,School of Engineering,CSD,Spring 2016,Spring,2016,2013,DES101,4.0,B-
26,School of Engineering,CSD,Monsoon 2016,Monsoon,2016,2013,HIS202,3.0,C
27,School of Engineering,CSD,Monsoon 2016,Monsoon,2016,2013,MAT284,4.0,D
28,School of Engineering,CSD,Monsoon 2017,Monsoon,2017,2013,HIS203,3.0,F
29,School of Engineering,EED,Monsoon 2013,Monsoon,2013,2013,MED101,2.0,B-
30,School of Engineering,EED,Summer 2015,Summer,2015,2013,BIO305,3.0,B-
31,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2013,ENG213,3.0,A-
32,School of Engineering,EED,Monsoon 2015,Monsoon,2015,2013,HIS105,3.0,B-
