,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
0,School of Engineering,EED,2012,"['CCC303', 'CCC302']","['B', 'B-']","['CCC703', 'CCC601']","['B-', 'D']","['CCC101', 'CCC603', 'CCC801', 'CCC705']","['C', 'D', 'B-', 'D']","['CCC402', 'CCC506']","['B-', 'B']","['CCC501', 'CCC807']","['D', 'C-']",['CCC214'],['C-'],,,,
1,School of Engineering,EED,2012,"['CCC303', 'CCC302']","['B', 'B-']","['CCC601', 'CCC703']","['F', 'B']","['CCC705', 'CCC603', 'CCC401']","['D', 'D', 'D']","['CCC506', 'CCC602', 'CCC408']","['B-', 'C', 'F']",['CCC408'],['F'],['CCC402'],['B-'],"['CCC101', 'CCC503', 'CCC216', 'CCC103']","['B', 'B-', 'D', 'C']","['CCC220', 'CCC813', 'CCC816']","['C-', 'A-', 'C-']"
2,School of Engineering,ECE,2012,"['CCC303', 'CCC302']","['B', 'B-']","['CCC703', 'CCC601']","['C', 'D']","['CCC705', 'CCC801', 'CCC402']","['D', 'D', 'C']","['CCC502', 'CCC206']","['A-', 'A-']","['CCC606', 'CCC805']","['C-', 'B-']",['CCC503'],['B-'],,,,
3,School of Engineering,CED,2012,"['CCC302', 'CCC303']","['B', 'C']","['CCC602', 'CCC601']","['C', 'D']",['CCC704'],['F'],['CCC704'],['C'],,,,,,,,
4,School of Humanities & Soc Sci,ENG,2013,"['CCC302', 'CCC801']","['B', 'A-']",['CCC704'],['D'],['CCC402'],['B-'],['CCC608'],['B-'],"['CCC318', 'CCC202']","['B', 'A-']","['CCC114', 'CCC225']","['D', 'C-']",,,,
5,School of Engineering,CSD,2013,"['CCC801', 'CCC302']","['C-', 'C']",['CCC704'],['C'],['CCC808'],['A-'],"['CCC806', 'CCC402']","['B', 'F']","['CCC319', 'CCC611']","['C', 'B-']","['CCC409', 'CCC402', 'CCC603']","['B-', 'D', 'B-']",,,,
6,School of Engineering,EED,2013,"['CCC402', 'CCC302']","['C', 'B']",['CCC704'],['C-'],['CCC806'],['B-'],['CCC311'],['B-'],"['CCC805', 'CCC602']","['C', 'A-']","['CCC410', 'CCC411', 'CCC514']","['B-', 'F', 'B-']","['CCC617', 'CCC224', 'CCC221']","['B', 'C', 'D']",['CCC103'],['F']
7,School of Engineering,CSD,2013,['CCC704'],['F'],"['CCC704', 'CCC801']","['C-', 'D']","['CCC408', 'CCC810']","['F', 'C']","['CCC402', 'CCC214']","['C-', 'C']",['CCC412'],['B-'],,,,,,
8,School of Engineering,EED,2014,"['CCC704', 'CCC412', 'CCC402']","['C', 'D', 'B-']","['CCC801', 'CCC312']","['C', 'C']",,,,,,,,,,,,
9,School of Humanities & Soc Sci,ECO,2014,"['CCC704', 'CCC402', 'CCC801']","['D', 'B-', 'D']","['CCC613', 'CCC816']","['A-', 'A-']","['CCC512', 'CCC314']","['C-', 'B-']","['CCC414', 'CCC113', 'CCC103']","['B-', 'B', 'B-']",,,,,,,,
