,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
0,School of Engineering,EED,2012,[],[],[],[],[],[],[],[],"["" 'ENG110'""]","["" 'C'""]","[""'HIS310'"", "" 'HIS103'""]","[""'B'"", "" 'C'""]","[""'MED309'"", "" 'CED206'""]","[""'C-'"", "" 'D'""]","[""'FAC101'""]","[""'C-'""]"
1,School of Engineering,EED,2012,[],[],[],[],[],[],[],[],"[""'ENG110'""]","[""'C-'""]",[],[],"["" 'MED309'"", "" 'CED206'"", "" 'ENG213'""]","["" 'D'"", "" 'D'"", "" 'D'""]","["" 'FAC101'""]","["" 'C-'""]"
2,School of Engineering,ECE,2012,[],[],[],[],[],[],[],[],"[""'BIO201'""]","[""'A-'""]",[],[],"[""'ADP212'""]","[""'A-'""]",,
3,School of Engineering,CED,2012,[],[],[],[],[],[],[],[],"["" 'HIS210'""]","["" 'F'""]","[""'HIS102'""]","[""'D'""]",,,,
4,School of Humanities & Soc Sci,ENG,2013,[],[],[],[],[],[],"[""'SOC103'""]","[""'F'""]","[""'SOC201'"", "" 'HIS107'""]","[""'F'"", "" 'F'""]",[],[],,,,
5,School of Engineering,CSD,2013,[],[],"["" 'MED101'""]","["" 'B'""]","[""'MGT101'""]","[""'C'""]","[""'MAT140'"", "" 'MAT440'""]","[""'D'"", "" 'C'""]",[],[],"[""'DES101'""]","[""'B-'""]",,,,
6,School of Engineering,EED,2013,"[""'MED101'""]","[""'B-'""]",[],[],[],[],[],[],"[""'BIO305'""]","[""'B-'""]","["" 'ENG213'"", "" 'HIS105'""]","["" 'A-'"", "" 'B-'""]","["" 'ENG425'""]","["" 'B-'""]","["" 'OHM103'"", "" 'SOC114'"", "" 'ENG325'""]","["" 'B-'"", "" 'D'"", "" 'A-'""]"
7,School of Engineering,CSD,2013,"["" 'MED101'""]","["" 'B-'""]",[],[],"["" 'ECO101'""]","["" 'C'""]","[""'MAT140'"", "" 'ECO102'""]","[""'F'"", "" 'F'""]","["" 'MAT430'""]","["" 'B'""]",,,,,,
8,School of Engineering,EED,2014,[],[],[],[],,,,,,,,,,,,
9,School of Humanities & Soc Sci,ECO,2014,"[""'EED101'"", "" 'PHY101'"", "" 'CSD101'""]","[""'W'"", "" 'W'"", "" 'B-'""]","[""'CSD201'""]","[""'W'""]","[""'PHY101'"", "" 'EED101'""]","[""'W'"", "" 'W'""]",[],[],"["" 'ART101'""]","["" 'B'""]",[],[],"["" 'COM198'"", "" 'OHM401'""]","["" 'A-'"", "" 'B-'""]",,
10,School of Engineering,MED,2014,[],[],"[""'PHY102'""]","[""'C-'""]",[],[],"[""'SOC214'"", "" 'ART101'""]","[""'F'"", "" 'B'""]",[],[],"[""'CHD262'"", "" 'COM198'"", "" 'OHM401'""]","[""'F'"", "" 'B-'"", "" 'B'""]",,,,
