,School,Major,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades,Batch,Minor
11,School of Engineering,CSD,['MKT101'],['F'],[],[],"['ENG401', 'ENG301', 'ENG104']","['A-', 'B', 'B-']",[],[],['ENG443'],['F'],"['ENG444', 'MAT283']","['B-', 'F']",[],[],[],[],2014,ENG
16,School of Engineering,CSD,[],[],"['MAT260', 'MAT284']","['B', 'B']","['MAT386', 'MAT430']","['B-', 'B-']",['MAT280'],['C-'],[],[],[],[],[],[],[],[],2014,MAT
17,School of Engineering,CSD,[],[],['MAT260'],['F'],['ENG401'],['A-'],"['ENG214', 'ENG326', 'ENG215']","['B', 'A-', 'W']","['ENG342', 'ENG104']","['B', 'F']",[],[],[],[],[],[],2014,ENG
18,School of Humanities & Soc Sci,ENG,"['PHY103', 'PHY105', 'MAT101', 'CHY111']","['D', 'F', 'C', 'D']","['PHY104', 'PHY106', 'MAT102']","['D', 'F', 'C']","['PHY201', 'PHY205', 'PHY203', 'PHY105']","['C', 'C', 'C', 'D']","['PHY202', 'PHY208', 'PHY206', 'PHY204']","['D', 'B-', 'F', 'D']","['PHY307', 'PHY303', 'PHY305', 'PHY301']","['W', 'W', 'W', 'W']",[],[],[],[],[],[],2014,PHY
21,School of Humanities & Soc Sci,SOC,[],[],['ENG412'],['F'],['ECO101'],['B-'],['ECO102'],['B'],['ENG430'],['W'],['ENG109'],['W'],"['ENG341', 'OHM402', 'ENG440']","['F', 'C', 'A-']","['ENG245', 'ENG244']","['B-', 'B-']",2014,ENG
22,School of Humanities & Soc Sci,ENG,"['MAT101', 'PHY101', 'EED101', 'CSD101']","['C-', 'B-', 'F', 'A-']","['MAT102', 'PHY102', 'CSD201', 'EED201']","['B-', 'B-', 'C', 'D']","['CSD207', 'CSD206', 'CSD205', 'EED206']","['C-', 'D', 'D', 'C-']","['CSD202', 'CSD204', 'CSD208']","['B-', 'C-', 'C']","['CSD304', 'CSD301', 'CSD307']","['C-', 'C-', 'B']","['CSD323', 'CSD428']","['F', 'B']",[],[],"['ADP110', 'SOC221', 'SOC321']","['A-', 'A-', 'A-']",2014,CSD
31,School of Humanities & Soc Sci,ENG,"['EED105', 'PHY101', 'MAT101', 'CSD101']","['B', 'F', 'W', 'A']","['CSD201', 'EED101', 'MAT102', 'PHY102']","['B-', 'D', 'W', 'W']","['EED201', 'MAT202', 'EED202', 'EED206']","['W', 'D', 'W', 'W']","['EED301', 'EED204', 'EED203', 'EED205']","['W', 'W', 'B', 'W']","['EED302', 'EED305', 'EED304', 'EED306']","['W', 'W', 'W', 'W']","['SOC221', 'SOC222']","['B', 'B']",[],[],[],[],2014,EED
46,School of Engineering,ECE,['ECO101'],['C-'],['ECO102'],['A-'],['HIS203'],['B-'],"['HIS206', 'ECO101', 'ECO221']","['B', 'B', 'B-']",[],[],[],[],[],[],[],[],2015,ECO
50,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['A-'],['PHY207'],['A'],"['PHY208', 'PHY202']","['A-', 'C-']","['PHY301', 'PHY201']","['A-', 'A']",['PHY302'],['AF'],[],[],[],[],2015,PHY
51,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['C-'],['DES101'],['A-'],"['OHM203', 'DES111']","['A-', 'A-']","['DES131', 'IRG206']","['A-', 'B']",['DES121'],['A'],[],[],[],[],2015,DES
52,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A'],"['ECO203', 'ECO301']","['A', 'A-']",['ECO221'],['A'],[],[],[],[],2015,ECO
54,School of Engineering,CSD,[],[],[],[],['BIO201'],['A'],['BIO310'],['A'],"['OHM401', 'BIO202']","['A', 'B-']",['BIO207'],['A-'],[],[],[],[],2015,BIO
57,School of Engineering,CSD,[],[],[],[],['ECO101'],['B-'],['ECO102'],['B'],"['ECO301', 'ECO354', 'ECO203']","['B', 'B', 'C']",[],[],[],[],[],[],2015,ECO
61,School of Engineering,CSD,[],[],[],[],['ECO101'],['C-'],['ECO102'],['A-'],"['ECO203', 'ECO301']","['B', 'B-']",['ECO221'],['A'],[],[],[],[],2015,ECO
64,School of Humanities & Soc Sci,ECO,"['CSD101', 'MAT201', 'PHY101', 'EED102']","['A-', 'A-', 'B', 'B-']","['PHY102', 'MAT203', 'CSD201', 'EED101']","['A-', 'A-', 'C-', 'C']","['EED201', 'EED202', 'MAT205', 'EED206']","['C', 'B', 'A-', 'C']","['EED203', 'EED301', 'EED204', 'EED205']","['C', 'F', 'D', 'D']","['EED306', 'EED302', 'EED305', 'EED304']","['D', 'C-', 'C', 'C-']",['IRG203'],['B-'],[],[],[],[],2015,EED
69,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A-'],"['ECO301', 'ECO203']","['A-', 'B']",['ECO221'],['A'],[],[],[],[],2015,ECO
72,School of Engineering,ECE,[],[],[],[],['ECO101'],['B-'],"['ECO102', 'ECO422']","['A-', 'A']",['ECO203'],['A-'],['ECO221'],['B'],[],[],[],[],2015,ECO
76,School of Engineering,ECE,[],[],[],[],['ECO101'],['C'],"['ECO102', 'ISM101']","['A-', 'B']",['ECO203'],['B'],"['MAT160', 'ECO221']","['C', 'B']",[],[],[],[],2015,ECO
78,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A'],"['ECO301', 'ECO203']","['B', 'A-']",['ECO221'],['A'],[],[],[],[],2015,ECO
84,School of Natural Sciences,CHY,['MAT201'],['A-'],"['PHY104', 'MAT203', 'BIO113']","['B', 'A-', 'A']","['PHY201', 'BIO201']","['A-', 'A']",['PHY202'],['A'],['PHY305'],['A-'],"['PHY208', 'MAT084', 'PHY306']","['A-', 'A', 'A-']",[],[],[],[],2015,PHY
85,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['C'],['DES101'],['A-'],['DES111'],['B'],['DES131'],['A-'],['DES121'],['A-'],[],[],[],[],2015,DES
88,School of Engineering,CSD,[],[],[],[],['MAT260'],['B-'],['MAT442'],['A-'],"['MAT386', 'MAT280']","['A-', 'B']",['MAT434'],['A'],[],[],[],[],2015,MAT
89,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['B-'],['ECO101'],['C'],['ECO102'],['A-'],['ECO301'],['C'],"['ECO327', 'ECO221']","['A-', 'A-']",[],[],[],[],2015,ECO
93,School of Engineering,CSD,[],[],[],[],['ECO101'],['C-'],"['ECO102', 'SOC114']","['A-', 'A-']","['ECO203', 'IRG206', 'ECO301']","['B', 'B', 'B']",['ECO221'],['C-'],[],[],[],[],2015,ECO
96,School of Engineering,ECE,[],[],[],[],"['DES101', 'CSD207']","['A-', 'B-']",['DES111'],['B'],['DES131'],['A-'],['DES121'],['A-'],[],[],[],[],2015,DES
98,School of Natural Sciences,MAT,['ECO101'],['A-'],['ECO102'],['A-'],['ECO301'],['A'],['ECO422'],['A'],['ECO203'],['A'],['ECO221'],['A'],[],[],[],[],2015,ECO
101,School of Engineering,CSD,[],[],[],[],['ECO101'],['B-'],['ECO102'],['B'],['ECO301'],['B'],"['OHM403', 'ECO221']","['A', 'B']",[],[],[],[],2015,ECO
103,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['B'],['ECO101'],['B'],['ECO102'],['A-'],['ECO301'],['B'],['ECO327'],['A-'],[],[],[],[],2015,ECO
114,School of Engineering,CHD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A'],"['ADP112', 'ECO354', 'ECO301']","['A-', 'A-', 'A']",['ECO221'],['A'],[],[],[],[],2015,ECO
115,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['B-'],"['ECO203', 'ECO301']","['B', 'B']",['ECO221'],['B-'],[],[],[],[],2015,ECO
126,School of Engineering,CHD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A-'],"['ECO301', 'CHY120', 'ECO354']","['A-', 'A', 'A-']",['ECO221'],['B'],[],[],[],[],2015,ECO
130,School of Natural Sciences,PHY,[],[],[],[],"['MAT260', 'SOC114']","['D', 'A-']",['MAT430'],['C'],[],[],"['MAT442', 'MAT284']","['C', 'C']",[],[],[],[],2015,MAT
137,School of Engineering,ECE,[],[],[],[],['ECO101'],['C'],['ECO102'],['B'],['ECO203'],['B'],"['ECO221', 'ECO375']","['A', 'B-']",[],[],[],[],2015,ECO
143,School of Engineering,EED,[],[],[],[],['CSD207'],['B'],['MAT386'],['A-'],"['MAT160', 'MAT442']","['B', 'B-']",['MAT434'],['A'],[],[],[],[],2015,MAT
144,School of Engineering,EED,[],[],[],[],['ECO101'],['C'],['ECO102'],['A-'],['ECO354'],['B-'],"['ECO221', 'CED308']","['A-', 'A-']",[],[],[],[],2015,ECO
149,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['B'],['PHY207'],['B-'],"['PHY202', 'PHY208']","['F', 'B']","['PHY201', 'OHM401']","['B', 'B-']",['CED308'],['B-'],[],[],[],[],2015,PHY
154,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['B-'],['DES101'],['A-'],['DES111'],['A-'],['DES131'],['A'],['DES121'],['A-'],[],[],[],[],2015,DES
160,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['A-'],['SOC113'],['C'],['SOC114'],['B'],"['SOC217', 'SOC201']","['A-', 'F']","['IRG202', 'IRG204', 'OHM401']","['B', 'A', 'A-']",[],[],[],[],2015,SOC
161,School of Engineering,EED,[],[],[],[],['ECO101'],['B-'],['ECO102'],['A'],['ECO203'],['B'],"['ECO375', 'ECO221']","['B-', 'B-']",[],[],[],[],2015,ECO
163,School of Engineering,CSD,[],[],[],[],['ECO101'],['C'],['ECO102'],['A'],"['ECO203', 'ECO301']","['B', 'B']",['ECO221'],['A'],[],[],[],[],2015,ECO
164,School of Engineering,MED,['MAT201'],['C-'],['PHY102'],['D'],['DES101'],['B'],['DES111'],['B-'],['DES131'],['A-'],['DES121'],['A-'],[],[],[],[],2015,DES
165,School of Engineering,ECE,[],[],[],[],['ECO101'],['C'],['ECO102'],['A-'],['ECO203'],['A-'],"['ECO221', 'ECO375']","['A', 'B']",[],[],[],[],2015,ECO
167,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['B'],['DES101'],['A-'],['DES111'],['A-'],['DES131'],['A'],['DES121'],['A-'],[],[],[],[],2015,DES
168,School of Engineering,MED,['MAT201'],['D'],['PHY102'],['B'],"['EED206', 'MAT201']","['A-', 'B']","['EED308', 'EED301']","['B', 'B-']",['CHD213'],['C'],"['ECO101', 'EED203']","['B-', 'B']",[],[],[],[],2015,EED
174,School of Humanities & Soc Sci,ENG,[],[],[],[],['SOC101'],['B'],['SOC303'],['A'],"['SOC201', 'SOC317', 'SOC204']","['A-', 'A-', 'A-']","['SOC203', 'SOC412']","['A-', 'B-']",[],[],[],[],2015,SOC
175,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['B-'],['DES101'],['B'],['DES111'],['B'],['DES131'],['A-'],['DES121'],['A-'],[],[],[],[],2015,DES
178,School of Humanities & Soc Sci,ENG,[],[],[],[],"['SOC312', 'SOC101']","['A-', 'A-']",['SOC220'],['A-'],"['SOC204', 'SOC317']","['B', 'C']","['SOC221', 'IRG202', 'SOC203']","['B', 'B', 'A-']",[],[],[],[],2015,SOC
179,School of Engineering,EED,[],[],[],[],['PHY207'],['A'],"['PHY202', 'PHY208']","['B-', 'A-']",['PHY201'],['A-'],['PHY302'],['B'],[],[],[],[],2015,PHY
183,School of Humanities & Soc Sci,SOC,[],[],"['ENG425', 'HIS104']","['A', 'A']",['ENG235'],['A-'],['HIS208'],['A'],"['IRG106', 'ENG240']","['A', 'A']","['HIS209', 'ENG244']","['A', 'A-']",[],[],[],[],2015,ENG
187,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['C-'],['ECO101'],['C'],['ECO102'],['A-'],['ECO301'],['B-'],"['ECO327', 'ECO221']","['A', 'B-']",[],[],[],[],2015,ECO
193,School of Engineering,EED,['ECO101'],['C'],['ECO102'],['A'],['ECO354'],['B-'],"['CED308', 'ECO221']","['B-', 'B']",[],[],[],[],[],[],[],[],2015,ECO
201,School of Humanities & Soc Sci,SOC,[],[],"['ENG114', 'ART101', 'ENG216']","['F', 'A-', 'A-']",['ENG235'],['B'],['HIS209'],['B'],"['HIS203', 'ENG342']","['B', 'B']","['ENG446', 'ART649']","['A', 'A-']",[],[],[],[],2015,ENG
207,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A'],"['ECO301', 'ECO203']","['A-', 'B']",['ECO221'],['A'],[],[],[],[],2015,ECO
208,School of Engineering,EED,[],[],[],[],['ECO101'],['B-'],['ECO102'],['A'],['ECO354'],['B'],"['CED308', 'ECO221']","['A-', 'B']",[],[],[],[],2015,ECO
211,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['C'],['ECO101'],['B-'],"['SOC114', 'ECO102']","['B', 'A-']",['ECO301'],['C'],['ECO221'],['B-'],[],[],[],[],2015,ECO
215,School of Engineering,CSD,[],[],[],[],['MAT260'],['C'],['MAT430'],['B'],"['MAT280', 'MAT386']","['A-', 'A-']",['MAT434'],['A'],[],[],[],[],2015,MAT
216,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['C-'],['DES101'],['A-'],"['OHM203', 'DES111']","['B-', 'B']",['DES131'],['A-'],"['OHM401', 'DES121']","['C', 'B']",[],[],[],[],2015,DES
219,School of Humanities & Soc Sci,ECO,[],[],['MAT260'],['B'],"['SOC101', 'CSD101']","['A-', 'B-']","['SOC303', 'ENG112', 'MAT388']","['A-', 'B', 'B']","['SOC204', 'SOC399']","['B', 'A-']","['MAT283', 'SOC321']","['C', 'A-']",[],[],[],[],2015,SOC
222,School of Humanities & Soc Sci,ENG,[],[],['HIS102'],['B'],['COM198'],['B'],['HIS208'],['C-'],[],[],"['HIS209', 'HIS206']","['B', 'A-']",[],[],[],[],2015,HIS
224,School of Engineering,EED,[],[],[],[],['PHY207'],['B-'],"['PHY202', 'PHY208']","['C-', 'A-']",['PHY201'],['B'],['PHY308'],['A'],[],[],[],[],2015,PHY
230,School of Humanities & Soc Sci,ECO,"['ENG110', 'ENG103']","['A-', 'A-']","['ENG109', 'ENG112', 'ENG114']","['A', 'A-', 'B']",['ENG235'],['A-'],['ENG326'],['C'],[],[],['CSD101'],['C'],[],[],[],[],2015,ENG
231,School of Engineering,ECE,[],[],[],[],['SOC101'],['A-'],"['SOC103', 'SOC114']","['C', 'A-']","['SOC317', 'SOC115', 'SOC204']","['A-', 'B', 'B-']",['SOC203'],['A-'],[],[],[],[],2015,SOC
232,School of Humanities & Soc Sci,ENG,[],[],['SOC103'],['B-'],"['ECO101', 'MAT260']","['D', 'F']","['SOC220', 'SOC303']","['B', 'A-']","['SOC204', 'SOC317']","['C', 'B']","['SOC221', 'SOC321', 'SOC203', 'SOC216']","['A-', 'B', 'B', 'C']",[],[],[],[],2015,SOC
233,School of Humanities & Soc Sci,ENG,[],[],[],[],[],[],['SOC103'],['B'],"['IRG206', 'IRG208', 'IRG106']","['B', 'B', 'B']","['IRG202', 'IRG203']","['A-', 'C-']",[],[],[],[],2015,IRG
235,School of Humanities & Soc Sci,SOC,"['MAT101', 'ECO101']","['W', 'C']","['ECO102', 'MAT260', 'MAT284']","['B', 'W', 'W']","['ECO203', 'MAT390', 'ECO221', 'ECO301']","['B', 'B', 'B-', 'B-']",['MAT388'],['W'],"['ECO314', 'ENG443']","['A-', 'A-']",[],[],[],[],[],[],2015,ECO
238,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A'],"['MAT160', 'ECO203', 'ECO301']","['B', 'A', 'B']",['ECO221'],['A'],[],[],[],[],2015,ECO
240,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['D'],['DES101'],['A-'],['DES111'],['A-'],['DES131'],['A'],['DES121'],['A'],[],[],[],[],2015,DES
243,School of Engineering,CSD,['EED102'],['A-'],[],[],['MAT260'],['A-'],['MAT442'],['C'],"['MAT386', 'BDA655']","['A', 'A']",['MAT434'],['A'],[],[],[],[],2015,MAT
244,School of Engineering,CSD,[],[],[],[],['MAT260'],['B'],"['MAT442', 'BDA650']","['B', 'B']","['MAT386', 'BDA655', 'MAT280']","['A', 'A-', 'A-']",[],[],[],[],[],[],2015,MAT
248,School of Engineering,MED,['MAT201'],['C-'],['PHY102'],['C-'],['DES101'],['B'],['DES111'],['B-'],['DES131'],['B'],['DES121'],['B'],[],[],[],[],2015,DES
251,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['B-'],['ECO101'],['C'],"['ECO102', 'OHM203']","['B', 'A-']",['ECO301'],['C'],['ECO221'],['B'],[],[],[],[],2015,ECO
257,School of Humanities & Soc Sci,ENG,[],[],[],[],"['COM198', 'COM199']","['A-', 'A']","['ADP100', 'COM197', 'COM196']","['B', 'A', 'A']",[],[],[],[],[],[],[],[],2015,COM
258,School of Natural Sciences,PHY,[],[],['ART101'],['A'],"['SOC114', 'MAT260']","['A', 'B']",['MAT430'],['B-'],[],[],"['MAT434', 'MAT284']","['A', 'B']",[],[],[],[],2015,MAT
260,School of Humanities & Soc Sci,ECO,[],[],['MAT102'],['B-'],['MAT390'],['B'],"['MAT386', 'MAT110']","['A-', 'B']","['MAT388', 'MAT280']","['C', 'B-']",[],[],[],[],[],[],2015,MAT
266,School of Engineering,CSD,[],[],[],[],['ECO101'],['B-'],"['ECO102', 'OHM203']","['A-', 'A-']","['ECO301', 'ECO203']","['A-', 'A-']",['ECO221'],['A'],[],[],[],[],2015,ECO
269,School of Engineering,CSD,[],[],[],[],['ECO101'],['B-'],['ECO102'],['A-'],"['ECO301', 'ECO203']","['B', 'B']",['ECO221'],['B'],[],[],[],[],2015,ECO
272,School of Engineering,CSD,[],[],[],[],['ECO101'],['A-'],['ECO102'],['A'],"['ECO203', 'ECO301']","['B', 'A']",['ECO221'],['A-'],[],[],[],[],2015,ECO
273,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['C-'],['ECO101'],['C'],"['ECO102', 'OHM203']","['A-', 'B-']",['ECO301'],['C-'],"['OHM401', 'CED308', 'ECO327']","['B', 'B', 'A']",[],[],[],[],2015,ECO
274,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A-'],"['ECO301', 'ECO203']","['A-', 'B']",['ECO221'],['B-'],[],[],[],[],2015,ECO
279,School of Natural Sciences,PHY,[],[],['MAT284'],['C-'],['SOC114'],['B'],"['MAT260', 'MAT431']","['B', 'B']",['MAT240'],['D'],['MAT444'],['B-'],[],[],[],[],2015,MAT
280,School of Engineering,EED,[],[],[],[],['SOC315'],['B'],['SOC202'],['B'],"['HIS201', 'SOC115']","['B', 'D']","['SOC222', 'SOC203']","['B', 'C-']",[],[],[],[],2015,SOC
289,School of Humanities & Soc Sci,SOC,[],[],"['ART101', 'HIS202']","['C', 'B']",['HIS204'],['D'],['HIS209'],['F'],['HIS201'],['C'],['HIS209'],['F'],[],[],[],[],2015,HIS
296,School of Humanities & Soc Sci,SOC,"['MAT101', 'ECO101']","['W', 'B-']","['MAT284', 'ENG114', 'ECO102']","['W', 'A-', 'B']","['ECO221', 'ENG235', 'ECO203', 'ECO301', 'ENG110', 'MAT101']","['W', 'B', 'A-', 'B', 'W', 'W']","['ENG215', 'ECO401', 'MAT110', 'ECO302']","['A-', 'B', 'W', 'W']","['ECO415', 'ECO402', 'ECO354']","['B', 'W', 'B-']",[],[],[],[],[],[],2015,ECO
298,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['C-'],['SOC101'],['B-'],"['SOC211', 'SOC103']","['D', 'A-']",['SOC201'],['W'],[],[],[],[],[],[],2015,SOC
303,School of Engineering,EED,[],[],[],[],['ECO101'],['C'],['ECO102'],['A-'],['ECO203'],['B'],"['ECO375', 'ECO221']","['B-', 'A-']",[],[],[],[],2015,ECO
305,School of Engineering,ECE,[],[],[],[],['ECO101'],['A-'],['ECO102'],['A'],['ECO203'],['A'],"['ECO221', 'ECO375']","['A', 'C']",[],[],[],[],2015,ECO
308,School of Engineering,MED,['MAT201'],['C'],['PHY102'],['C-'],['DES101'],['B'],['DES111'],['B'],['DES131'],['A-'],['DES121'],['B'],[],[],[],[],2015,DES
310,School of Engineering,ECE,['ECO101'],['C'],['ECO102'],['B'],"['ECO203', 'FAC203', 'OHM401']","['B', 'B-', 'B-']","['ECO221', 'MKT401', 'DOM401']","['C', 'B', 'B']",[],[],[],[],[],[],[],[],2015,ECO
313,School of Engineering,CSD,[],[],[],[],['ECO101'],['A'],"['ECO301', 'ECO102']","['B', 'A-']","['ECO354', 'ECO203']","['B', 'B']",['ECO221'],['A-'],[],[],[],[],2015,ECO
321,School of Engineering,MED,['MAT201'],['A'],['PHY102'],['A-'],['DES101'],['A'],"['OHM203', 'DES111']","['A-', 'A-']","['DES131', 'IRG206']","['A-', 'A']","['DES121', 'IRG203']","['A', 'B']",[],[],[],[],2015,DES
329,School of Engineering,ECE,[],[],[],[],"['SOC101', 'DES101']","['B-', 'B']","['DES111', 'SOC211']","['B-', 'A-']","['SOC217', 'DES131', 'SOC204']","['A-', 'B', 'B-']","['SOC321', 'DES121']","['C-', 'A-']",[],[],[],[],2015,SOC
336,School of Humanities & Soc Sci,ECO,[],[],"['SOC112', 'MAT102']","['A', 'B']",['MAT280'],['B'],"['MAT388', 'MAT110']","['A', 'A-']","['MAT160', 'MAT484']","['A-', 'A']",[],[],[],[],[],[],2015,MAT
339,School of Engineering,CSD,[],[],[],[],['ECO101'],['B'],['ECO102'],['A-'],"['ECO203', 'ECO354', 'ECO301']","['B-', 'B', 'B']",[],[],[],[],[],[],2015,ECO
342,School of Engineering,ECE,[],[],[],[],['ECO101'],['C'],['ECO102'],['A-'],['ECO203'],['B'],"['ECO101', 'ECO221']","['B-', 'B-']",[],[],[],[],2015,ECO
345,School of Engineering,MED,['MAT201'],['A-'],['PHY102'],['A-'],['PHY207'],['A-'],"['PHY202', 'PHY208']","['B', 'A-']","['PHY305', 'PHY201']","['B-', 'A-']","['PHY306', 'PHY302']","['B', 'A-']",[],[],[],[],2015,PHY
347,School of Engineering,MED,['MAT201'],['B'],['PHY102'],['A-'],['ECO101'],['C-'],"['ECO422', 'ECO102']","['B', 'A-']",['ECO301'],['C'],['ECO327'],['A-'],[],[],[],[],2015,ECO
349,School of Engineering,CSD,[],[],[],[],['MAT260'],['B-'],"['BDA650', 'BDA690', 'MAT430']","['B-', 'C', 'B']","['MAT280', 'MAT431']","['B', 'A']",['MAT434'],['A'],[],[],[],[],2015,MAT
352,School of Humanities & Soc Sci,ECO,[],[],['MAT102'],['A'],"['MAT390', 'MAT260']","['A', 'B']","['MAT388', 'MAT490', 'MAT110']","['A', 'A', 'A-']","['MAT484', 'IRG208']","['A', 'A']",['MAT230'],['A-'],[],[],[],[],2015,MAT
358,School of Engineering,MED,['MAT201'],['B-'],['PHY102'],['C'],['ECO101'],['B'],['ECO102'],['A-'],['ECO301'],['B-'],['ECO327'],['A'],[],[],[],[],2015,ECO
359,School of Engineering,MED,['MAT201'],['C-'],['PHY102'],['B-'],['ECO101'],['B-'],"['ECO102', 'CED315']","['A', 'B']","['CED405', 'ECO301']","['B', 'A-']",['ECO221'],['B'],[],[],[],[],2015,ECO
362,School of Natural Sciences,CHY,['MAT201'],['B-'],"['BIO113', 'PHY104', 'MAT203']","['B-', 'C-', 'C']","['BIO201', 'PHY255']","['A-', 'C-']","['PHY202', 'MAT084']","['F', 'C']","['BIO202', 'BIO204']","['C-', 'B-']","['BIO206', 'BIO205']","['C', 'B']",[],[],[],[],2015,BIO
370,School of Humanities & Soc Sci,SOC,[],[],"['HIS202', 'HIS104']","['B', 'B']",['HIS102'],['B'],['HIS209'],['A-'],['HIS201'],['B'],['ADP100'],['A'],[],[],[],[],2015,HIS
375,School of Engineering,MED,['MAT201'],['C-'],['PHY102'],['C'],"['ENG301', 'ENG104']","['A-', 'A-']","['SOC211', 'SOC103']","['C-', 'B']","['ENG440', 'SOC317']","['A-', 'B']","['SOC221', 'ENG245']","['A', 'B']",[],[],[],[],2015,ENG
376,School of Humanities & Soc Sci,ECO,[],[],[],[],"['COM198', 'HIS301']","['A-', 'B']","['COM193', 'HIS201', 'IRG101']","['A-', 'A-', 'C']","['ARC101', 'COM199', 'MAT390', 'ENG440']","['A-', 'A', 'AP', 'A-']","['ENG142', 'HIS104', 'COM196', 'CSD101']","['A', 'A-', 'A', 'C']",[],[],[],[],2015,COM
377,School of Humanities & Soc Sci,ENG,[],[],[],[],"['SOC114', 'COM198']","['A', 'A']",['SOC103'],['B'],"['IRG106', 'IRG206']","['A-', 'B']","['IRG202', 'IRG203', 'HIS103']","['A-', 'B', 'A']",[],[],[],[],2015,IRG
379,School of Engineering,CSD,[],[],[],[],"['MAT260', 'ECO101']","['B-', 'C']",['MAT442'],['B'],"['MAT431', 'MAT280', 'BDA655']","['A', 'B', 'A-']",['MAT246'],['A-'],[],[],[],[],2015,MAT
