,School,Major,Batch,Sem1_courses,Sem1_grades,Sem2_courses,Sem2_grades,Sem3_courses,Sem3_grades,Sem4_courses,Sem4_grades,Sem5_courses,Sem5_grades,Sem6_courses,Sem6_grades,Sem7_courses,Sem7_grades,Sem8_courses,Sem8_grades
0,School of Engineering,EED,2012,"['CCC303', 'CCC302']","['B', 'B-']","['CCC703', 'CCC601']","['B-', 'D']","['CCC101', 'CCC603', 'CCC801', 'CCC705']","['C', 'D', 'B-', 'D']","['CCC402', 'CCC506']","['B-', 'B']","['CCC501', 'ENG110', 'CCC807']","['D', 'C', 'C-']","['HIS310', 'CCC214', 'HIS103']","['B', 'C-', 'C']","['MED309', 'CED206', 'CCC411', 'CCC217']","['C-', 'D', 'B-', 'B']",['FAC101'],['C-']
1,School of Engineering,EED,2012,"['CCC303', 'CCC302']","['B', 'B-']","['CCC601', 'CCC703']","['F', 'B']","['CCC705', 'CCC603', 'CCC401']","['D', 'D', 'D']","['CCC506', 'CCC602', 'CCC408']","['B-', 'C', 'F']","['ENG110', 'CCC408']","['C-', 'F']",['CCC402'],['B-'],"['CCC101', 'CCC503', 'CCC216', 'MED309', 'CED206', 'ENG213', 'CCC103']","['B', 'B-', 'D', 'D', 'D', 'D', 'C']","['CCC220', 'CCC813', 'FAC101', 'CCC816']","['C-', 'A-', 'C-', 'C-']"
2,School of Engineering,ECE,2012,"['CCC303', 'CCC302']","['B', 'B-']","['CCC703', 'CCC601']","['C', 'D']","['CCC705', 'CCC801', 'CCC402']","['D', 'D', 'C']","['CCC502', 'CCC206']","['A-', 'A-']",['BIO201'],['A-'],"['CCC606', 'CCC805']","['C-', 'B-']","['ADP212', 'CCC503']","['A-', 'B-']",,
3,School of Engineering,CED,2012,"['CCC302', 'CCC303']","['B', 'C']","['CCC602', 'CCC601']","['C', 'D']",['CCC704'],['F'],['CCC704'],['C'],"['CCC402', 'HIS210']","['B', 'F']",['HIS102'],['D'],,,,
4,School of Humanities & Soc Sci,ENG,2013,"['CCC302', 'CCC801']","['B', 'A-']",['CCC704'],['D'],['CCC402'],['B-'],"['SOC103', 'CCC608']","['F', 'B-']","['SOC201', 'HIS107', 'CCC318', 'CCC202']","['F', 'F', 'B', 'A-']","['CCC114', 'CCC225']","['D', 'C-']",,,,
5,School of Engineering,CSD,2013,"['CCC801', 'CCC302']","['C-', 'C']","['CCC704', 'MED101']","['C', 'B']","['MGT101', 'CCC808']","['C', 'A-']","['MAT140', 'MAT440', 'CCC806', 'CCC402']","['D', 'C', 'B', 'F']","['CCC319', 'CCC611']","['C', 'B-']","['DES101', 'CCC409', 'CCC402', 'CCC603']","['B-', 'B-', 'D', 'B-']",,,,
6,School of Engineering,EED,2013,"['MED101', 'CCC402', 'CCC302']","['B-', 'C', 'B']",['CCC704'],['C-'],['CCC806'],['B-'],['CCC311'],['B-'],['BIO305'],['B-'],"['CCC805', 'CCC602', 'ENG213', 'HIS105']","['C', 'A-', 'A-', 'B-']","['CCC410', 'CCC411', 'CCC514', 'ENG425']","['B-', 'F', 'B-', 'B-']","['CCC617', 'OHM103', 'SOC114', 'ENG325', 'CCC224', 'CCC221']","['B', 'B-', 'D', 'A-', 'C', 'D']"
7,School of Engineering,CSD,2013,"['CCC704', 'MED101']","['F', 'B-']","['CCC704', 'CCC801']","['C-', 'D']","['CCC408', 'ECO101', 'CCC810']","['F', 'C', 'C']","['MAT140', 'CCC402', 'CCC214', 'ECO102']","['F', 'C-', 'C', 'F']","['CCC412', 'MAT430']","['B-', 'B']",,,,,,
8,School of Engineering,EED,2014,"['CCC704', 'CCC412', 'CCC402']","['C', 'D', 'B-']","['CCC801', 'CCC312']","['C', 'C']",,,,,,,,,,,,
9,School of Humanities & Soc Sci,ECO,2014,"['EED101', 'CCC704', 'PHY101', 'CSD101']","['W', 'D', 'W', 'B-']",['CSD201'],['W'],"['PHY101', 'EED101']","['W', 'W']","['CCC402', 'CCC801']","['B-', 'D']","['CCC613', 'ART101', 'CCC816']","['A-', 'B', 'A-']","['CCC512', 'CCC314']","['C-', 'B-']","['CCC414', 'CCC113', 'COM198', 'CCC103', 'OHM401']","['B-', 'B', 'A-', 'B-', 'B-']",,
